00000000,none,0.0,0,Genesis
df4456974c4105ced1b749a4b5ad8ce6a0942d462a10dfd9169eca822a6e8fce,00000000,13.38450527034789,1,1
a91f1225064db6d779a94f611da85f049cf20cef9f79330bd3c212e2cc86ec80,df4456974c4105ced1b749a4b5ad8ce6a0942d462a10dfd9169eca822a6e8fce,14.109469885207837,2,1
6bce02fabc1df0d4c0a8fb6f74ce05195863e070a6af6ce08f7c4ce3fbcee1e3,a91f1225064db6d779a94f611da85f049cf20cef9f79330bd3c212e2cc86ec80,35.76186847411944,3,1
140cabed5bc0e52c2936147ea813fa1033d22d104d7a13ff80faf96730691857,6bce02fabc1df0d4c0a8fb6f74ce05195863e070a6af6ce08f7c4ce3fbcee1e3,57.163975655409274,4,1
0fe4881e048c3358c11378a8869ff004afade7d77f44f1f35d4a198d0684e19e,6bce02fabc1df0d4c0a8fb6f74ce05195863e070a6af6ce08f7c4ce3fbcee1e3,42.96175874931094,4,0
947c22b27ebbe5f0d6b0ae885b2ae1f328fff2c6639d6b8047516dba481dcbd4,0fe4881e048c3358c11378a8869ff004afade7d77f44f1f35d4a198d0684e19e,47.334832128989156,5,0
f0fba2881f47fd0c06bcec1b918f1b837481e9de7d07eb63869a29972a089a9a,947c22b27ebbe5f0d6b0ae885b2ae1f328fff2c6639d6b8047516dba481dcbd4,90.54746391711996,6,1
679fdd337409c1ffc35e8d0ee31a82040a4715625be5b5c9131cbdc804a889b8,f0fba2881f47fd0c06bcec1b918f1b837481e9de7d07eb63869a29972a089a9a,113.76346635763596,7,1
f15a979f53b3f6977f9abe114afed90ba9fc6ace52ba51330947166b5698fac8,f0fba2881f47fd0c06bcec1b918f1b837481e9de7d07eb63869a29972a089a9a,106.71010467059762,7,0
d0b8bdbb5ed579d3d268e499239f3a7910b6558868f4eb3c32c407a138a43a86,f15a979f53b3f6977f9abe114afed90ba9fc6ace52ba51330947166b5698fac8,117.31753106397734,8,0
d95bff8ed06b4dd2cd87ee761d79497b16e7a11f01a9aee972dda1a6ffb70173,d0b8bdbb5ed579d3d268e499239f3a7910b6558868f4eb3c32c407a138a43a86,132.75761709140713,9,1
2c18874648e1c4477999f4be174a66bcc72ea4edb173cceee9f2242fd0225fb4,d95bff8ed06b4dd2cd87ee761d79497b16e7a11f01a9aee972dda1a6ffb70173,133.04870522748615,10,1
fb4ce366273747926180c9492952f7b0b56c4e3c41609c7b16181459c6d0cc5c,2c18874648e1c4477999f4be174a66bcc72ea4edb173cceee9f2242fd0225fb4,172.44192427755456,11,1
474b86d21503f67ac9d0a36fcca2367add1d3a65861d59b982f0e96e8012de2a,2c18874648e1c4477999f4be174a66bcc72ea4edb173cceee9f2242fd0225fb4,164.9089186160165,11,0
753462f52e42b951611a620a3274cf71d65ca361b9d97457dc66fc731820b148,474b86d21503f67ac9d0a36fcca2367add1d3a65861d59b982f0e96e8012de2a,176.6032434917197,12,0
cc15d36f942707c51490760d2389d55d5167b14089d896fb33cf2ea80d1eb5bf,753462f52e42b951611a620a3274cf71d65ca361b9d97457dc66fc731820b148,184.85811377783236,13,1
a10b3439056cdfad01d3a5e33d08bff0552e3336c657b26b70b8b210bc30d980,753462f52e42b951611a620a3274cf71d65ca361b9d97457dc66fc731820b148,183.42847546227026,13,0
